Entity Name,Reporting Company,Payment Type,Start Date,End Date,Federal Government,Tribal Governments,State,Value (USD),Notes,
COMMONWEALTH OF PENNSYLVANIA,ROYAL DUTCH SHELL PLC,Fees,01-01-2016,12-31-2016,N,,Pennsylvania,7472894,NA,
COMMONWEALTH OF PENNSYLVANIA - DCNR,ROYAL DUTCH SHELL PLC,Fees,01-01-2016,12-31-2016,N,,Pennsylvania,213323,NA,
PA DEPARTMENT OF TRANSPORTATION,ROYAL DUTCH SHELL PLC,Fees,01-01-2016,12-31-2016,N,,Pennsylvania,725000,NA,
PENNSYLVANIA DEPARTMENT OF REVENUE,ROYAL DUTCH SHELL PLC,Taxes,01-01-2016,12-31-2016,N,,Pennsylvania,1540000,NA,
THE BOROUGH OF ELKLAND,ROYAL DUTCH SHELL PLC,Fees,01-01-2016,12-31-2016,N,,Pennsylvania,216183,NA,
STATE OF TEXAS,ROYAL DUTCH SHELL PLC,Taxes,01-01-2016,12-31-2016,N,,Texas,13541715,NA,
STATE OF TEXAS,ROYAL DUTCH SHELL PLC,Royalties,01-01-2016,12-31-2016,N,,Texas,15748276,NA,
THE UNIVERSITY OF TEXAS SYSTEM,ROYAL DUTCH SHELL PLC,Fees,01-01-2016,12-31-2016,N,,Texas,1255641,NA,
UNIVERSITY LANDS,ROYAL DUTCH SHELL PLC,Fees,01-01-2016,12-31-2016,N,,Texas,3600400,NA,
STATE OF WYOMING,ROYAL DUTCH SHELL PLC,Taxes,01-01-2016,12-31-2016,N,,Wyoming,8461187,NA,
COMMISSIONER OF THE GENERAL LAND,ROYAL DUTCH SHELL PLC,Fees,01-01-2016,12-31-2016,,,,203100,NA,"There is a commissioner of the general land in most states and there is a general land office, which is an independent federal agency."
"DIRECTOR, DIVISION OF OIL AND GAS",ROYAL DUTCH SHELL PLC,Fees,01-01-2016,12-31-2016,,,,243408,NA,"Again, most states have a division of oil and gas"
State of Delaware,Rye Patch Gold Corp.,Fees,01-01-2016,12-31-2016,N,,Delaware,754,USD payments translated at 2016 annual average @ 1.3243,
Department of Treasury - US,Rye Patch Gold Corp.,Taxes,01-01-2016,12-31-2016,Y,,District of Columbia,159951,USD payments translated at 2016 annual average @ 1.3242,
"Eureka County, Nevada",Rye Patch Gold Corp.,Fees,01-01-2016,12-31-2016,N,,Nevada,2263,USD payments translated at 2016 annual average @ 1.3243,
Humboldt County,Rye Patch Gold Corp.,Fees,01-01-2016,12-31-2016,N,,Nevada,3772,USD payments translated at 2016 annual average @ 1.3245,
Nevada Department of Wildlife,Rye Patch Gold Corp.,Fees,01-01-2016,12-31-2016,N,,Nevada,14335,USD payments translated at 2016 annual average @ 1.3247,
Nevada Division of water resources,Rye Patch Gold Corp.,Fees,01-01-2016,12-31-2016,N,,Nevada,1508,USD payments translated at 2016 annual average @ 1.3248,
Nevada LP Gas Board,Rye Patch Gold Corp.,Fees,01-01-2016,12-31-2016,N,,Nevada,754,USD payments translated at 2016 annual average @ 1.3249,
Nevada State Treasurer,Rye Patch Gold Corp.,Fees,01-01-2016,12-31-2016,N,,Nevada,754,USD payments translated at 2016 annual average @ 1.3246,
"Pershing County, Nevada",Rye Patch Gold Corp.,Fees,01-01-2016,12-31-2016,N,,Nevada,22634,USD payments translated at 2016 annual average @ 1.3243,
State of Nevada,Rye Patch Gold Corp.,Fees,01-01-2016,12-31-2016,N,,Nevada,3017,USD payments translated at 2016 annual average @ 1.3243,
State of Nevada,Rye Patch Gold Corp.,Taxes,01-01-2016,12-31-2016,N,,Nevada,225592,USD payments translated at 2016 annual average @ 1.3243,
Bureau of Land Management - Nevada,Rye Patch Gold Corp.,Fees,01-01-2016,12-31-2016,Y,,Nevada or District of Columbia?,310849,USD payments translated at 2016 annual average @ 1.3243,
Department of Labour - Nevada,Rye Patch Gold Corp.,Fees,01-01-2016,12-31-2016,Y,,Nevada or District of Columbia?,3772,USD payments translated at 2016 annual average @ 1.3244,
State Emergency Response Commission,Rye Patch Gold Corp.,Fees,01-01-2016,12-31-2016,N,,,3772,USD payments translated at 2016 annual average @ 1.3250,
Bureau of Land Management,Scorpio Gold Corporation,Fees,01-01-2016,12-31-2016,Y,,District of Columbia,114372,Claim Maintenance,
Department of Treasury,Scorpio Gold Corporation,Taxes,01-01-2016,12-31-2016,Y,,District of Columbia,430061,Old Age Survivor &Disability Insurance and Medicare,
Esmeralda County Assessor,Scorpio Gold Corporation,Taxes,01-01-2016,12-31-2016,N,,Nevada,295027,Personal Property Taxes,
"Nevada Department of
 taxation",Scorpio Gold Corporation,Taxes,01-01-2016,12-31-2016,N,,Nevada,219350,Nevada Net Proceeds Tax and Nevada Modified Business Tax,
Federal Government of the United States of America,Silver Standard Resources Inc.,Fees,01-01-2016,12-31-2016,Y,,District of Columbia,467783,"Inland Revenue Service - $12,590,000; Bureau of Land Management - $600,000 (4); Other - $20,000",
Federal Government of the United States of America,Silver Standard Resources Inc.,Taxes,01-01-2016,12-31-2016,Y,,District of Columbia,9506566,"Inland Revenue Service - $12,590,000; Bureau of Land Management - $600,000 (4); Other - $20,000",
"Humboldt County, Nevada",Silver Standard Resources Inc.,Fees,01-01-2016,12-31-2016,N,,Nevada,15089,"Humboldt County - $1,270,000",
"Humboldt County, Nevada",Silver Standard Resources Inc.,Taxes,01-01-2016,12-31-2016,N,,Nevada,943111,"Humboldt County - $1,270,000",
State of Nevada,Silver Standard Resources Inc.,Fees,01-01-2016,12-31-2016,N,,Nevada,150897,"Nevada Department of Taxation - $5,670,000; University of Nevada - $1,950,000; Nevada Division of Environmental Protection -$100,000; Other - $60,000",
State of Nevada,Silver Standard Resources Inc.,Royalties,01-01-2016,12-31-2016,N,,Nevada,1441074,"Nevada Department of Taxation - $5,670,000; University of Nevada - $1,950,000; Nevada Division of Environmental Protection -$100,000; Other - $60,000",
State of Nevada,Silver Standard Resources Inc.,Taxes,01-01-2016,12-31-2016,N,,Nevada,4277955,"Nevada Department of Taxation - $5,670,000; University of Nevada - $1,950,000; Nevada Division of Environmental Protection -$100,000; Other - $60,000",
"Barron County, Wisconsin",Source Energy Services US LP,Taxes,01-01-2016,12-31-2016,N,,Wisconsin,203712,"Town of Sumner, Property Taxes, Amount is cash paid in 2016, rounded to the nearest $10,000. Amount is in CAD$, foreign exchange rate used was the average monthly Bank of Canada rate in the month the payment was made. (Avergae exchange for the year, 0.754999)",
"Barron County, Wisconsin",Source Energy Services US LP,Bonuses,01-01-2016,12-31-2016,N,,Wisconsin,256526,"Sumner Community Foundation, For each ton of wet sand shipped from the mine East of Cameron Source Energy contributes $0.20, to be used for the benefit of and to enrich the lives of the Township of Sumner, Barron County, Wisconsin. Corporate and social responsibility. Amount is cash paid in 2016, rounded to the nearest $10,000. Amount is in CAD$, foreign exchange rate used was the average monthly Bank of Canada rate in the month the payment was made, (Avergae exchange for the year, 0.754999).",
"Rusk County, Wisconsin",Source Energy Services US LP,Taxes,01-01-2016,12-31-2016,N,,Wisconsin,354610,"Rusk County Treasurer, Village of Weyerhaeuser, Property Taxes, Amount is cash paid in 2016, rounded to the nearest $10,000. Amount is in CAD$, foreign exchange rate used was the average monthly Bank of Canada rate in the month the payment was made. (Avergae exchange for the year, 0.754999)",
Government of Arizona,Taseko Mines Limited,Fees,01-01-2016,12-31-2016,N,,Arizona,98083,NA,
"Pinal County, Arizona",Taseko Mines Limited,Taxes,01-01-2016,12-31-2016,N,,Arizona,98083,NA,
District of Northwest Artic Borough,Teck Resources Limited,Taxes,01-01-2016,12-31-2016,N,,Alaska,11392790,"Payees include recipients: Northwest Arctic Borough, Northwest Arctic Borough School District",
State of Alaksa,Teck Resources Limited,Fees,01-01-2016,12-31-2016,N,,Alaska,965746,"Payees include recipients: Alaska Department Of Natural Resources, Alaska Department Of Revenue, State Of Alaska. Cash Tax Refunds Received: $4,510,000. Net tax payments made in 2016: $21,170,000",
State of Alaksa,Teck Resources Limited,Taxes,01-01-2016,12-31-2016,N,,Alaska,19390378,"Payees include recipients: Alaska Department Of Natural Resources, Alaska Department Of Revenue, State Of Alaska. Cash Tax Refunds Received: $4,510,000. Net tax payments made in 2016: $21,170,000",
State of California,Teck Resources Limited,Taxes,01-01-2016,12-31-2016,N,,California,467783,Payees include recipients: California Franchise Tax Board,
Government of United States,Teck Resources Limited,Fees,01-01-2016,12-31-2016,Y,,District of Columbia,105628,"Payees include recipients: Deptartment Of Labor & Industries, Internal Revenue Service, Mine Safety And Health Administration, U.S. Department Of Treasury, U.S. Nuclear Regulatory Commission",
Government of United States,Teck Resources Limited,Taxes,01-01-2016,12-31-2016,Y,,District of Columbia,78466899,"Payees include recipients: Deptartment Of Labor & Industries, Internal Revenue Service, Mine Safety And Health Administration, U.S. Department Of Treasury, U.S. Nuclear Regulatory Commission",
State of Minnesota,Teck Resources Limited,Fees,01-01-2016,12-31-2016,N,,Minnesota,128263,Payees include recipients: Minnesota Department Of Natural Resources,
State of Oregon,Teck Resources Limited,Fees,01-01-2016,12-31-2016,N,,Oregon,203712,Payees include recipients: Bureau Of Land Management - Oregon & Washington,
City of Pend Oreille,Teck Resources Limited,Taxes,01-01-2016,12-31-2016,N,,Washington,286705,Payees include recipients: Pend Oreille County Treasurer,
State of Washington,Teck Resources Limited,Royalties,01-01-2016,12-31-2016,N,,Washington,543232,Payees include recipients: Washington Department Of Natural Resource,
Washington State,TransAlta Corporation,Taxes,01-01-2016,12-31-2016,N,,Washington,40026,NA,
Washington State,TransAlta Corporation,Fees,01-01-2016,12-31-2016,N,,Washington,129571,NA,
State of Nevada,TriMetals Mining Inc.,Fees,01-01-2016,12-31-2016,N,,Nevada,130000,"Recording and permitting fees. Amounts have been reported in US dollars, which is the Company's presentation currency.",
State of New Mexico,TriMetals Mining Inc.,Fees,01-01-2016,12-31-2016,N,,New Mexico,10000,"Recording fees. Amounts have been reported in US dollars, which is the Company's presentation currency.",
State of Utah,TriMetals Mining Inc.,Fees,01-01-2016,12-31-2016,N,,Utah,60000,"Recording and permitting fees. Amounts have been reported in US dollars, which is the Company's presentation currency.",
Bureau of Land Management,Ur-Energy Inc.,Fees,01-01-2016,12-31-2016,Y,,District of Columbia,444575,Claim fees,
US Nuclear Regulatory Commission,Ur-Energy Inc.,Fees,01-01-2016,12-31-2016,Y,,District of Columbia,542047,Fees and permit review,
Carbon County Wyoming,Ur-Energy Inc.,Fees,01-01-2016,12-31-2016,N,,Wyoming,295,Property taxes; filing fees,
Carbon County Wyoming,Ur-Energy Inc.,Taxes,01-01-2016,12-31-2016,N,,Wyoming,3471,Property taxes; filing fees,
Fremont County Wyoming,Ur-Energy Inc.,Fees,01-01-2016,12-31-2016,N,,Wyoming,69,Property taxes; filing fees,
Fremont County Wyoming,Ur-Energy Inc.,Taxes,01-01-2016,12-31-2016,N,,Wyoming,223,Property taxes; filing fees,
State of Wyoming,Ur-Energy Inc.,Fees,01-01-2016,12-31-2016,N,,Wyoming,15862,Severance taxes; leases; project related fees,
State of Wyoming,Ur-Energy Inc.,Taxes,01-01-2016,12-31-2016,N,,Wyoming,618576,Severance taxes; leases; project related fees,
"Sweetwater County, Wyoming",Ur-Energy Inc.,Fees,01-01-2016,12-31-2016,N,,Wyoming,285,"Ad valorem tax, property taxes; filing fees",
"Sweetwater County, Wyoming",Ur-Energy Inc.,Taxes,01-01-2016,12-31-2016,N,,Wyoming,1447498,"Ad valorem tax, property taxes; filing fees",
Bureau of Land Management,Uranium One Inc.,Fees,01-01-2016,12-31-2016,Y,,District of Columbia,1078919,NA,
U.S. Nuclear Regulatory Commission,Uranium One Inc.,Fees,01-01-2016,12-31-2016,Y,,District of Columbia,724309,NA,
Campbell County Treasurer,Uranium One Inc.,Taxes,01-01-2016,12-31-2016,N,,Wyoming,105628,NA,
Johnson County Treasurer,Uranium One Inc.,Taxes,01-01-2016,12-31-2016,N,,Wyoming,633771,NA,
Wyoming Office of State Lands & Investments,Uranium One Inc.,Fees,01-01-2016,12-31-2016,N,,Wyoming,135808,NA,
Government of the United States of America,Vermilion Energy Inc.,Royalties,01-01-2016,12-31-2016,Y,,District of Columbia,588501,"Bureau of Land Management - $5,460,000 Office of Natural Resources Revenue - $890,000",
Government of the United States of America,Vermilion Energy Inc.,Fees,01-01-2016,12-31-2016,Y,,District of Columbia,4202506,"Bureau of Land Management - $5,460,000 Office of Natural Resources Revenue - $890,000",
State of Wyoming,Vermilion Energy Inc.,Royalties,01-01-2016,12-31-2016,N,,Wyoming,301795,"Wyoming State Lands and Investments - $430,000 State of Wyoming - Department of Revenue - $400,000 Wyoming Air Quality Division - $10,000",
State of Wyoming,Vermilion Energy Inc.,Fees,01-01-2016,12-31-2016,N,,Wyoming,331975,"Wyoming State Lands and Investments - $430,000 State of Wyoming - Department of Revenue - $400,000 Wyoming Air Quality Division - $10,000",
Lee County,Votorantim Cement North America Inc.,Taxes,01-01-2016,12-31-2016,N,,Florida,170000,NA,
Suwannee County,Votorantim Cement North America Inc.,Taxes,01-01-2016,12-31-2016,N,,Florida,1270000,NA,
Cook County,Votorantim Cement North America Inc.,Taxes,01-01-2016,12-31-2016,N,,Illinois,140000,NA,
Kane County,Votorantim Cement North America Inc.,Taxes,01-01-2016,12-31-2016,N,,Illinois,100000,NA,
Kankakee County,Votorantim Cement North America Inc.,Taxes,01-01-2016,12-31-2016,N,,Illinois,80000,NA,
State of Illinois,Votorantim Cement North America Inc.,Taxes,01-01-2016,12-31-2016,N,,Illinois,140000,NA,
State of Illinois,Votorantim Cement North America Inc.,Fees,01-01-2016,12-31-2016,N,,Illinois,170000,NA,
State of Michigan,Votorantim Cement North America Inc.,Taxes,01-01-2016,12-31-2016,N,,Michigan,120000,NA,
State of Michigan,Votorantim Cement North America Inc.,Fees,01-01-2016,12-31-2016,N,,Michigan,160000,NA,
Township of Charlevoix,Votorantim Cement North America Inc.,Taxes,01-01-2016,12-31-2016,N,,Michigan,760000,NA,
U.S. Department of the Interior Bureau of Land Management,West Kirkland Mining Inc.,Fees,01-01-2016,12-31-2016,Y,,District of Columbia,105817,Mining Claim Maitenence Fees converted from US Dollars to Canadian Dollars at C$1.3248 per US$1,
,,,,,,,,,,
,,,,,,,,,,
Note: Removed any company w/ fiscal year ending before 11/2016 because want to capture payments for total of 2016,,,,,,,,,,
